seed,RejRate
115.0,0.5065
116.0,0.5415
117.0,0.509
118.0,0.5329999999999999
119.0,0.519
120.0,0.5455
121.0,0.5095000000000001
122.0,0.527
123.0,0.527
124.0,0.5329999999999999
125.0,0.528
126.0,0.5385
127.0,0.5265
128.0,0.532
129.0,0.536
130.0,0.5305
131.0,0.527
132.0,0.513
133.0,0.5325
134.0,0.508
135.0,0.5295000000000001
136.0,0.513
137.0,0.5195000000000001
138.0,0.5349999999999999
139.0,0.55
140.0,0.5485
141.0,0.5425
142.0,0.5489999999999999
143.0,0.5225
144.0,0.532
145.0,0.5329999999999999
146.0,0.5525
147.0,0.5355
148.0,0.5115000000000001
149.0,0.5305
150.0,0.5165
151.0,0.514
152.0,0.507
153.0,0.5335
154.0,0.5395
155.0,0.5185
156.0,0.52
157.0,0.5349999999999999
158.0,0.519
159.0,0.526
160.0,0.5205
161.0,0.536
162.0,0.508
163.0,0.5475
164.0,0.53
165.0,0.5205
166.0,0.5135000000000001
167.0,0.528
168.0,0.5365
169.0,0.5245
170.0,0.5409999999999999
171.0,0.5315
172.0,0.5375
173.0,0.5449999999999999
174.0,0.5545
175.0,0.536
176.0,0.518
177.0,0.531
178.0,0.5369999999999999
179.0,0.5385
180.0,0.5345
181.0,0.5305
182.0,0.532
183.0,0.5405
184.0,0.5409999999999999
185.0,0.5529999999999999
186.0,0.5435
187.0,0.508
188.0,0.536
189.0,0.5285
190.0,0.55
191.0,0.526
192.0,0.504
193.0,0.527
194.0,0.5355
195.0,0.5275000000000001
196.0,0.529
197.0,0.5255000000000001
198.0,0.5369999999999999
199.0,0.5325
200.0,0.516
201.0,0.5545
202.0,0.525
203.0,0.5155000000000001
204.0,0.5325
205.0,0.529
206.0,0.525
207.0,0.5245
208.0,0.5155000000000001
209.0,0.54
210.0,0.5335
211.0,0.5135000000000001
212.0,0.5389999999999999
213.0,0.5509999999999999
214.0,0.5295000000000001
215.0,0.51
216.0,0.5335
217.0,0.5429999999999999
218.0,0.523
219.0,0.5415
220.0,0.5335
221.0,0.5365
222.0,0.536
223.0,0.5369999999999999
224.0,0.546
225.0,0.5489999999999999
226.0,0.516
227.0,0.534
228.0,0.5455
229.0,0.5329999999999999
230.0,0.5409999999999999
231.0,0.5185
232.0,0.5045
233.0,0.5145
234.0,0.523
235.0,0.5305
236.0,0.5429999999999999
237.0,0.5295000000000001
238.0,0.5175000000000001
239.0,0.5325
240.0,0.536
241.0,0.5345
242.0,0.529
243.0,0.5295000000000001
244.0,0.5389999999999999
245.0,0.5469999999999999
246.0,0.525
247.0,0.5235000000000001
248.0,0.53
249.0,0.5205
250.0,0.5285
251.0,0.5285
252.0,0.536
253.0,0.542
254.0,0.527
255.0,0.5175000000000001
256.0,0.5275000000000001
257.0,0.5349999999999999
258.0,0.52
259.0,0.524
260.0,0.526
261.0,0.511
262.0,0.523
263.0,0.49850000000000005
264.0,0.526
265.0,0.5205
266.0,0.528
267.0,0.5335
268.0,0.5305
269.0,0.5325
270.0,0.536
271.0,0.531
272.0,0.5365
273.0,0.5349999999999999
274.0,0.5145
275.0,0.5389999999999999
276.0,0.5135000000000001
277.0,0.5355
278.0,0.5155000000000001
279.0,0.5389999999999999
280.0,0.534
281.0,0.536
282.0,0.5355
283.0,0.5325
284.0,0.5409999999999999
285.0,0.529
286.0,0.522
287.0,0.5335
288.0,0.5265
289.0,0.518
290.0,0.5255000000000001
291.0,0.5369999999999999
292.0,0.5349999999999999
293.0,0.5335
294.0,0.5409999999999999
295.0,0.5275000000000001
296.0,0.5305
297.0,0.5225
298.0,0.5155000000000001
299.0,0.5429999999999999
300.0,0.5235000000000001
301.0,0.5385
302.0,0.548
303.0,0.5415
304.0,0.5295000000000001
305.0,0.529
306.0,0.5235000000000001
307.0,0.517
308.0,0.5355
309.0,0.52
310.0,0.509
311.0,0.5435
312.0,0.506
313.0,0.5175000000000001
314.0,0.5025
315.0,0.516
316.0,0.5285
317.0,0.523
318.0,0.5185
319.0,0.529
320.0,0.5385
321.0,0.5475
322.0,0.5255000000000001
323.0,0.5225
324.0,0.516
325.0,0.516
326.0,0.5369999999999999
327.0,0.5275000000000001
328.0,0.552
329.0,0.5325
330.0,0.531
331.0,0.5525
332.0,0.5315
333.0,0.5245
334.0,0.5315
335.0,0.5135000000000001
336.0,0.5415
337.0,0.5349999999999999
338.0,0.517
339.0,0.5365
340.0,0.5475
341.0,0.5369999999999999
342.0,0.5385
343.0,0.5395
344.0,0.5175000000000001
345.0,0.51
346.0,0.5429999999999999
347.0,0.5115000000000001
348.0,0.5215000000000001
349.0,0.558
350.0,0.5509999999999999
351.0,0.53
352.0,0.5335
353.0,0.5369999999999999
354.0,0.5295000000000001
355.0,0.5255000000000001
356.0,0.524
357.0,0.5295000000000001
358.0,0.5175000000000001
359.0,0.534
360.0,0.5255000000000001
361.0,0.5315
362.0,0.526
363.0,0.5365
364.0,0.5175000000000001
365.0,0.5449999999999999
366.0,0.5425
367.0,0.5375
368.0,0.5525
369.0,0.534
370.0,0.5265
371.0,0.5385
372.0,0.5325
373.0,0.5345
374.0,0.5205
375.0,0.5455
376.0,0.5075000000000001
377.0,0.5435
378.0,0.544
379.0,0.536
380.0,0.521
381.0,0.5245
382.0,0.5295000000000001
383.0,0.5265
384.0,0.52
385.0,0.5235000000000001
386.0,0.529
387.0,0.5445
388.0,0.5225
389.0,0.5415
390.0,0.5285
391.0,0.5205
392.0,0.525
393.0,0.528
394.0,0.5255000000000001
395.0,0.5365
