subject,ratio50,L1_baseline,L1_rule_based,L1_afriat_slack,top1_baseline,top1_rule_based,top1_afriat_slack,max_true,max_af,max_rb,max_base,delta
430,1.0793969043227205,11.079999999999997,8.740000000000002,10.399999999999999,1,1,0,37.28,34.79,34.72,37.4,4.086484637854383e-06
431,5.9316705637828,80.7,22.659999999999997,63.0,0,0,0,44.23,58.06,33.33,69.12,2.0186569737351162e-05
434,2.7963276153660304,118.72,27.779999999999994,62.22,0,1,0,50.67,41.92,64.1,59.36,0.0
436,2.764458124088774,3.8999999999999986,1.4399999999999902,1.5799999999999934,1,1,1,56.31,56.9,56.66,58.26,2.23840071219712
437,1.5736014872401556,132.45999999999998,104.39999999999999,191.16,0,1,0,95.38,79.83,43.31,42.87,10.981129373593536
438,4.113413715146947,55.559999999999995,16.14,55.12,1,0,0,36.24,55.48,35.99,64.02,0.0
439,4.174171842650103,88.58,23.819999999999993,115.25999999999999,0,0,1,38.57,41.39,45.6,70.1,0.0
440,1.5586249999999997,45.540000000000006,107.36000000000001,44.96000000000001,0,1,0,44.74,53.13,98.42,35.99,9.04642263329471e-07
441,8.25676432170181,94.59999999999998,57.22,113.80000000000001,0,0,0,48.33,95.81,67.52,59.69,4.281567829787038
442,1.094783313812055,67.17999999999999,64.38,25.019999999999985,0,0,1,65.82,61.88,38.24,36.13,9.776787722582203
443,5.065474254742548,155.34,65.42,100.36,0,0,1,49.82,100.0,36.45,81.41,1.7922366668413333e-05
501,1.8863545816733067,45.62,7.819999999999992,177.78,1,1,0,78.6,100.0,74.81,55.94,1.085785759983123
502,1.4581871884807092,18.1,7.980000000000003,16.000000000000004,0,1,0,34.51,38.54,36.99,40.65,0.0
510,2.8433012466466785,68.2,21.060000000000006,43.440000000000005,0,0,1,43.3,50.97,43.35,55.18,1.5435936210731986
513,5.091525630842549,77.7,113.14,98.18,0,0,0,36.99,30.08,84.49,73.02,2.9127725909864565e-06
517,3.178649055341916,72.88,51.98,69.75999999999999,0,0,1,63.4,44.75,38.67,48.89,1.3164462857247557e-05
520,2.166677716634622,10.02,9.159999999999998,12.339999999999993,1,1,1,47.71,42.02,43.46,52.14,2.056668353654897
522,1.7777473780209758,25.560000000000002,1.6800000000000006,55.260000000000005,0,0,0,33.88,60.31,33.33,45.92,2.6086070613640326
524,2.867495604119568,96.75999999999999,48.900000000000006,138.4,0,1,1,62.74,30.53,74.37,53.63,3.7319147296579267
527,1.8754241994200036,6.040000000000009,13.440000000000001,43.8,1,1,0,40.43,44.75,41.64,43.45,5.465206359076731
529,5.14388798213212,143.74,36.99999999999999,172.24,0,1,1,49.83,11.07,55.76,72.47,0.561473971469809
530,1.9054768288012254,95.44,44.78,85.66,0,1,1,56.92,94.94,43.34,47.97,2.4667414835503534
536,1.5860720603295781,6.64,8.579999999999991,20.739999999999995,0,0,0,38.16,44.61,38.66,41.07,6.724314992946361
540,1.5914110429447854,8.819999999999997,15.539999999999997,121.86000000000001,1,0,0,40.86,91.98,33.33,42.66,2.3029490612524044
541,8.607462686567164,184.08,1.8400000000000016,40.31999999999999,0,1,1,98.97,79.06,99.89,73.45,1.0305151109308896e-05
542,1.247211518961671,1.5400000000000031,12.719999999999997,138.18,1,0,0,35.98,100.0,39.2,36.5,2.6021599122095345
543,5.205419839778459,134.38,11.58,65.74000000000001,0,1,0,50.86,78.12,48.53,70.87,9.236494952330892
601,1.7202976876052094,25.22,18.34,35.08,0,0,0,38.25,49.9,36.88,40.32,0.9517904131670875
602,1.4608147837043262,10.200000000000005,1.0199999999999994,133.36,0,1,0,40.0,93.11,39.65,38.43,1.0375879147113798
603,1.181203398647477,25.059999999999995,6.619999999999998,6.479999999999998,0,1,1,38.87,38.91,35.76,41.82,8.201752835084633e-06
604,1.3755221109858782,35.72,18.66,34.83999999999999,0,1,0,38.58,34.33,34.26,41.1,0.0
605,6.738723913531304,169.0,171.84000000000003,89.94,0,0,1,96.39,53.69,68.47,67.52,8.939165025242346
606,1.034518396031418,11.140000000000002,6.979999999999998,41.05999999999999,0,1,0,39.48,45.01,35.99,36.5,14.595872791173457
607,2.5214628635978538,43.62,21.619999999999997,39.19999999999999,0,0,0,40.65,49.11,37.5,57.52,1.905274617718218e-06
608,1.8213259245066105,94.28000000000002,83.3,73.96,0,0,1,55.43,40.84,59.39,47.14,0.0
609,1.6554563698013978,4.879999999999994,12.439999999999992,5.159999999999998,1,1,1,45.22,45.72,40.67,43.38,3.0798407861185906
610,1.9119015047879617,33.42,4.379999999999999,14.080000000000005,0,0,1,35.82,42.86,36.07,46.69,0.0
611,2.9582976736948567,118.34,65.9,81.42,0,0,0,49.93,35.93,33.33,59.55,1.8786357076483988e-05
612,2.1157932263814616,23.0,32.3,19.620000000000005,1,1,1,58.46,50.01,42.43,49.04,1.0943397020267125
613,1.7874093605800923,96.6,68.53999999999999,33.31999999999999,0,0,0,49.76,52.44,36.44,50.47,2.720772485072891
614,3.029902557856273,154.5,110.94,78.14,0,1,1,98.03,58.96,43.02,53.81,3.54844893418763
615,2.1862112387848263,5.74,5.519999999999996,27.199999999999996,1,1,1,48.33,41.24,49.44,49.6,1.6276246813480528e-06
616,1.5826006806579693,12.14,12.040000000000004,1.0800000000000038,1,1,1,42.86,43.39,48.88,48.93,8.6154943520841e-06
617,6.263233054074639,79.92,55.16,67.82,0,0,1,51.07,54.69,50.0,73.51,2.795518916974229e-05
618,3.29626201495194,35.300000000000004,17.74,26.220000000000002,1,1,1,46.3,50.89,37.96,63.95,7.779191229476005e-06
619,3.400029919964096,23.000000000000007,23.360000000000003,102.69999999999999,1,1,0,50.91,61.35,39.55,60.1,9.267283751495441
620,1.1997232073350057,134.26,0.6999999999999943,131.0,0,1,1,99.54,34.04,99.89,38.08,6.876293019053252e-07
621,9.49462984273111,144.06,22.640000000000004,96.14000000000001,0,0,1,51.93,100.0,58.96,72.03,5.626170760871644
622,4.0,32.260000000000005,30.92,106.34,1,1,0,53.17,42.13,44.39,67.72,6.069802617208389e-06
623,2.8289495869162034,6.020000000000009,23.839999999999996,48.379999999999995,1,0,0,42.62,31.33,40.89,45.63,1.6317085201610524e-05
624,1.6982905217936097,3.279999999999992,8.680000000000003,11.639999999999999,1,1,1,46.3,40.7,42.12,46.09,1.6503385036116967e-05
