subject,ratio50,L1_baseline,L1_rule_based,top1_baseline,top1_rule_based,max_true,max_base,max_rb
427,1.4236875262494753,132.66000000000003,131.29999999999998,0,0,98.69,37.54,33.33
429,1.5878777042731986,4.800000000000003,19.679999999999996,1,1,38.83,41.23,38.52
430,1.0793969043227205,11.079999999999997,8.740000000000002,1,1,37.28,37.4,34.72
431,5.9316705637828,80.7,22.659999999999997,0,0,44.23,69.12,33.33
434,2.7963276153660304,118.72,27.779999999999994,0,1,50.67,59.36,64.1
436,2.764458124088774,3.8999999999999986,1.4399999999999902,1,1,56.31,58.26,56.66
437,1.5736014872401556,132.45999999999998,104.39999999999999,0,1,95.38,42.87,43.31
438,4.113413715146947,55.559999999999995,16.14,1,0,36.24,64.02,35.99
439,4.174171842650103,88.58,23.819999999999993,0,0,38.57,70.1,45.6
440,1.5586249999999997,45.540000000000006,107.36000000000001,0,1,44.74,35.99,98.42
441,8.25676432170181,94.59999999999998,57.22,0,0,48.33,59.69,67.52
442,1.094783313812055,67.17999999999999,64.38,0,0,65.82,36.13,38.24
443,5.065474254742548,155.34,65.42,0,0,49.82,81.41,36.45
501,1.8863545816733067,45.62,7.819999999999992,1,1,78.6,55.94,74.81
502,1.4581871884807092,18.1,7.980000000000003,0,1,34.51,40.65,36.99
510,2.8433012466466785,68.2,21.060000000000006,0,0,43.3,55.18,43.35
513,5.091525630842549,77.7,113.14,0,0,36.99,73.02,84.49
517,3.178649055341916,72.88,51.98,0,0,63.4,48.89,38.67
520,2.166677716634622,10.02,9.159999999999998,1,1,47.71,52.14,43.46
522,1.7777473780209758,25.560000000000002,1.6800000000000006,0,0,33.88,45.92,33.33
524,2.867495604119568,96.75999999999999,48.900000000000006,0,1,62.74,53.63,74.37
527,1.8754241994200036,6.040000000000009,13.440000000000001,1,1,40.43,43.45,41.64
529,5.14388798213212,143.74,36.99999999999999,0,1,49.83,72.47,55.76
530,1.9054768288012254,95.44,44.78,0,1,56.92,47.97,43.34
536,1.5860720603295781,6.64,8.579999999999991,0,0,38.16,41.07,38.66
540,1.5914110429447854,8.819999999999997,15.539999999999997,1,0,40.86,42.66,33.33
541,8.607462686567164,184.08,1.8400000000000016,0,1,98.97,73.45,99.89
