subject,rule,cv_L1,ratio50
601,knn_shares_k5,17.279591836734692,1.7202976876052094
625,logshare_reg,17.55775510204082,1.8685968819599108
313,hybrid_gate_tau3.5_knn3,17.843061224489798,2.1548576293633523
417,knn_shares_k3,18.781632653061223,7.970536145548221
803,knn_shares_k7,18.854285714285716,6.297611940298508
632,knn_shares_k7,19.029591836734692,2.066950643578109
510,logshare_reg,19.40530612244898,2.8433012466466785
705,knn_shares_k5,19.762857142857143,3.24585183454078
606,logshare_reg,20.03,1.034518396031418
513,hybrid_gate_tau3.5_knn1,20.09040816326531,5.091525630842549
802,knn_shares_k3,20.728367346938775,4.788947553678282
301,equal_share,21.26775510204082,1.1676446617766911
536,logshare_reg,22.38612244897959,1.5860720603295781
908,logshare_reg,22.440408163265303,1.6892487889523533
130,knn_shares_k3,22.551836734693882,3.823414710241011
923,logshare_reg,22.586734693877553,2.6821673240606185
620,all_in_cheapest,22.639795918367344,1.1997232073350057
407,logshare_reg,22.779387755102043,3.0769113847089224
811,logshare_reg,22.839999999999996,1.06750169679768
618,logshare_reg,23.496530612244896,3.29626201495194
410,knn_shares_k3,23.68510204081633,8.807731061646972
409,equal_dollar,23.769387755102038,1.3859147129407423
110,equal_share,23.988163265306124,6.503486202494353
341,equal_share,24.16285714285715,3.114736012608353
430,knn_shares_k7,24.198367346938777,1.0793969043227205
906,logshare_reg,24.36224489795918,1.0462196861626247
621,knn_shares_k1,24.71489795918367,9.49462984273111
701,logshare_reg,24.758367346938773,8.728682170542637
907,logshare_reg,25.070204081632653,5.417817414652858
422,knn_shares_k3,25.0869387755102,6.6963782891542865
702,hybrid_gate_tau4.5_knn1,25.131632653061224,3.7295477295477295
914,knn_shares_k3,25.752653061224493,1.8336276240926033
624,knn_shares_k3,25.80081632653061,1.6982905217936097
429,logshare_reg,25.811224489795922,1.5878777042731986
900,hybrid_gate_tau3.5_knn5,26.176326530612247,1.1888747884940776
613,knn_shares_k5,26.786122448979587,1.7874093605800923
619,logshare_reg,27.362448979591836,3.400029919964096
915,logshare_reg,27.392244897959184,3.8030873493975905
622,logshare_reg,27.406938775510202,4.0
540,equal_dollar,27.475918367346942,1.5914110429447854
326,knn_shares_k3,27.602857142857143,6.43317572131622
603,knn_shares_k3,27.697346938775507,1.181203398647477
140,knn_shares_k3,28.119591836734696,2.9273868942199326
405,logshare_reg,28.265306122448983,1.6326197561678026
916,hybrid_gate_tau4.5_knn1,28.85469387755102,4.65448122264035
809,logshare_reg,28.892244897959184,1.19641989308278
117,hybrid_gate_tau5.5_knn5,28.901632653061228,2.0466015840854666
332,knn_shares_k3,28.962040816326528,1.612737271598368
806,logshare_reg,29.226326530612248,1.7329893360853112
314,all_in_cheapest,29.60816326530612,1.8479428679769954
706,knn_shares_k7,29.76061224489796,5.914465512958516
707,hybrid_gate_tau5.5_knn3,30.64836734693878,2.5589820359281434
623,knn_shares_k5,30.807959183673468,2.8289495869162034
127,hybrid_gate_tau4.5_knn1,31.023061224489794,4.237998611630267
112,equal_dollar,31.209795918367348,1.8930621776783108
805,logshare_reg,31.229387755102042,2.071336824424464
408,logshare_reg,31.266530612244903,1.6047031547569761
543,logshare_reg,31.432448979591843,5.205419839778459
617,knn_shares_k7,31.433673469387756,6.263233054074639
800,knn_shares_k7,31.660612244897962,1.2586425339366516
108,equal_share,31.669183673469387,4.60375009725356
443,knn_shares_k3,31.707755102040814,5.065474254742548
608,knn_shares_k1,31.819795918367348,1.8213259245066105
808,equal_dollar,31.972244897959186,1.6544074147111023
522,equal_dollar,32.11081632653061,1.7777473780209758
440,knn_shares_k1,32.2469387755102,1.5586249999999997
342,knn_shares_k5,32.31122448979592,2.031032794909447
111,equal_dollar,32.34510204081633,1.8390916463909162
501,knn_shares_k3,32.37244897959184,1.8863545816733067
441,logshare_reg,32.84142857142857,8.25676432170181
605,equal_share,33.95591836734694,6.738723913531304
530,logshare_reg,34.75387755102041,1.9054768288012254
905,logshare_reg,35.10061224489796,1.2330827067669174
