subject,ok,price_ratio50,true_spend,af_min,af_max,af_width,dist_to_band,covered,nar_spend,nar_abs_err,nar_in_band,outside
314,1,1.8479428679769954,42.4,0.0,0.0,0.0,42.4,0,45.81,3.4100000000000037,0,1
317,1,2.521714922048998,52.73,12.26,12.26,0.0,40.47,0,17.03,35.699999999999996,0,1
320,1,1.5607934997437962,33.26,27.85,40.31,12.46,0.0,1,40.12,6.859999999999999,1,0
322,1,7.7592769618493085,75.89,0.0,0.22,0.22,75.67,0,81.0,5.109999999999999,0,1
325,1,3.460456811249163,35.6,34.84,34.84,0.0,0.759999999999998,0,35.89,0.28999999999999915,0,1
326,1,6.43317572131622,32.33,75.35,96.23,20.88000000000001,43.019999999999996,0,18.2,14.129999999999999,0,1
331,1,1.2744631844862173,32.03,37.26,37.26,0.0,5.229999999999997,0,33.18,1.1499999999999986,0,1
332,1,1.612737271598368,48.91,0.0,2.85,2.85,46.059999999999995,0,48.9,0.00999999999999801,0,1
333,1,1.5547112462006079,54.72,47.93,61.5,13.57,0.0,1,34.58,20.14,0,0
334,1,4.4135352946888045,0.0,0.0,0.0,0.0,0.0,1,44.63,44.63,0,0
337,1,1.2951173708920187,50.21,1.42,40.29,38.87,9.920000000000002,0,40.77,9.439999999999998,0,1
339,1,2.7282113821138214,32.96,20.49,20.49,0.0,12.470000000000002,0,22.0,10.96,0,1
340,1,1.922240885288015,39.3,0.0,39.51,39.51,0.0,1,40.64,1.3400000000000034,0,0
341,1,3.114736012608353,27.24,5.83,27.89,22.060000000000002,0.0,1,30.08,2.84,0,0
342,1,2.031032794909447,21.04,24.64,31.5,6.859999999999999,3.6000000000000014,0,30.38,9.34,1,1
402,1,2.8156326331216412,20.17,0.58,2.79,2.21,17.380000000000003,0,58.69,38.519999999999996,0,1
405,1,1.6326197561678026,18.69,17.65,25.93,8.280000000000001,0.0,1,43.38,24.69,0,0
407,1,3.0769113847089224,33.29,30.13,30.13,0.0,3.16,0,21.2,12.09,0,1
408,1,1.6047031547569761,52.66,33.46,63.8,30.339999999999996,0.0,1,60.74,8.080000000000005,1,0
409,1,1.3859147129407423,38.14,34.89,34.89,0.0,3.25,0,38.34,0.20000000000000284,0,1
410,1,8.807731061646972,53.41,71.3,71.3,0.0,17.89,0,10.43,42.98,0,1
413,1,1.1365505156028846,29.97,30.3,58.35,28.05,0.33000000000000185,0,34.17,4.200000000000003,1,1
