subject,ok,price_ratio50,true_spend,af_min,af_max,af_width,dist_to_band,covered,nar_spend,nar_abs_err,nar_in_band,outside
317,1,2.521714922048998,11.43,12.31,12.31,0.0,0.8800000000000008,0,23.35,11.920000000000002,0,1
320,1,1.5607934997437962,33.61,21.45,30.61,9.16,3.0,0,25.65,7.960000000000001,1,1
322,1,7.7592769618493085,10.7,55.92,59.8,3.8799999999999955,45.22,0,8.27,2.4299999999999997,0,1
325,1,3.460456811249163,51.16,45.73,45.74,0.010000000000005116,5.419999999999995,0,49.56,1.5999999999999943,0,1
326,1,6.43317572131622,33.73,3.77,14.41,10.64,19.319999999999997,0,14.48,19.249999999999996,0,1
331,1,1.2744631844862173,34.58,35.88,35.88,0.0,1.3000000000000043,0,32.17,2.4099999999999966,0,1
332,1,1.612737271598368,28.22,32.2,42.56,10.36,3.980000000000004,0,24.4,3.8200000000000003,0,1
333,1,1.5547112462006079,0.7,0.0,6.43,6.43,0.0,1,38.19,37.489999999999995,0,0
334,1,4.4135352946888045,1.36,22.93,22.93,0.0,21.57,0,47.07,45.71,0,1
337,1,1.2951173708920187,25.45,19.33,71.89,52.56,0.0,1,28.62,3.1700000000000017,1,0
339,1,2.7282113821138214,33.56,30.69,30.69,0.0,2.870000000000001,0,56.21,22.65,0,1
340,1,1.922240885288015,31.96,15.56,31.4,15.839999999999998,0.5600000000000023,0,30.85,1.1099999999999994,1,1
341,1,3.114736012608353,46.25,35.77,55.01,19.239999999999995,0.0,1,54.24,7.990000000000002,1,0
342,1,2.031032794909447,35.75,34.71,39.12,4.409999999999997,0.0,1,32.35,3.3999999999999986,0,0
402,1,2.8156326331216412,37.05,82.23,99.42,17.189999999999998,45.18000000000001,0,22.74,14.309999999999999,0,1
405,1,1.6326197561678026,22.45,0.0,17.36,17.36,5.09,0,34.65,12.2,0,1
407,1,3.0769113847089224,19.84,22.9,22.9,0.0,3.0599999999999987,0,22.58,2.7399999999999984,0,1
408,1,1.6047031547569761,22.39,2.83,14.43,11.6,7.960000000000001,0,17.62,4.77,0,1
409,1,1.3859147129407423,31.09,45.53,45.53,0.0,14.440000000000001,0,27.26,3.8299999999999983,0,1
410,1,8.807731061646972,46.07,28.7,28.7,0.0,17.37,0,7.03,39.04,0,1
413,1,1.1365505156028846,33.83,17.1,33.74,16.64,0.0899999999999963,0,33.36,0.46999999999999886,1,1
417,1,7.970536145548221,50.5,0.0,0.0,0.0,50.5,0,69.03,18.53,0,1
418,1,1.5925892777230826,37.95,31.5,31.5,0.0,6.450000000000003,0,34.3,3.6500000000000057,0,1
422,1,6.6963782891542865,53.55,97.55,100.0,2.450000000000003,44.0,0,8.36,45.19,0,1
423,1,1.0632700274385323,36.86,3.85,3.85,0.0,33.01,0,40.17,3.3100000000000023,0,1
424,1,9.699000999001,0.13,64.75,64.75,0.0,64.62,0,15.44,15.309999999999999,0,1
426,1,2.155830828996555,13.53,6.55,6.55,0.0,6.9799999999999995,0,32.36,18.83,0,1
427,1,1.4236875262494753,98.69,29.72,41.62,11.899999999999999,57.07,0,29.15,69.53999999999999,0,1
429,1,1.5878777042731986,35.88,35.71,35.71,0.0,0.1700000000000017,0,36.21,0.3299999999999983,0,1
430,1,1.0793969043227205,37.28,30.95,38.14,7.190000000000001,0.0,1,38.48,1.1999999999999957,0,0
431,1,5.9316705637828,26.56,32.4,58.21,25.810000000000002,5.84,0,16.74,9.82,0,1
434,1,2.7963276153660304,49.17,47.33,47.33,0.0,1.8400000000000034,0,23.16,26.01,0,1
436,1,2.764458124088774,20.37,24.11,28.43,4.32,3.7399999999999984,0,18.85,1.5199999999999996,0,1
437,1,1.5736014872401556,3.49,41.98,45.36,3.3800000000000026,38.489999999999995,0,28.09,24.6,0,1
438,1,4.113413715146947,27.92,59.8,97.34,37.540000000000006,31.879999999999995,0,16.31,11.610000000000003,0,1
439,1,4.174171842650103,35.24,3.0,27.23,24.23,8.010000000000002,0,15.09,20.150000000000002,1,1
440,1,1.5586249999999997,44.74,6.02,6.02,0.0,38.72,0,34.15,10.590000000000003,0,1
441,1,8.25676432170181,48.33,4.97,4.97,0.0,43.36,0,24.58,23.75,0,1
442,1,1.094783313812055,33.76,27.86,43.78,15.920000000000002,0.0,1,31.5,2.259999999999998,1,0
443,1,5.065474254742548,45.15,0.0,0.0,0.0,45.15,0,12.11,33.04,0,1
501,1,1.8863545816733067,10.14,22.2,45.41,23.209999999999997,12.059999999999999,0,31.03,20.89,1,1
502,1,1.4581871884807092,34.51,18.47,53.43,34.96,0.0,1,33.71,0.7999999999999972,1,0
510,1,2.8433012466466785,43.3,16.77,16.77,0.0,26.529999999999998,0,23.27,20.029999999999998,0,1
513,1,5.091525630842549,36.99,8.22,13.75,5.529999999999999,23.240000000000002,0,13.02,23.970000000000002,1,1
517,1,3.178649055341916,13.06,28.34,32.77,4.430000000000003,15.28,0,22.25,9.19,0,1
520,1,2.166677716634622,25.26,22.65,22.65,0.0,2.610000000000003,0,25.44,0.17999999999999972,0,1
522,1,1.7777473780209758,33.88,58.14,63.11,4.969999999999999,24.259999999999998,0,24.08,9.800000000000004,0,1
524,1,2.867495604119568,62.74,6.92,6.92,0.0,55.82,0,15.47,47.27,0,1
527,1,1.8754241994200036,36.6,5.58,8.55,2.9700000000000006,28.05,0,34.37,2.230000000000004,0,1
529,1,5.14388798213212,49.5,12.05,12.05,0.0,37.45,0,15.96,33.54,0,1
530,1,1.9054768288012254,42.5,10.27,15.35,5.08,27.15,0,27.13,15.370000000000001,0,1
536,1,1.5860720603295781,23.52,47.21,47.46,0.25,23.69,0,18.5,5.02,0,1
540,1,1.5914110429447854,27.84,16.08,23.31,7.23,4.530000000000001,0,32.0,4.16,0,1
541,1,8.607462686567164,98.97,93.75,100.0,6.25,0.0,1,9.16,89.81,0,0
542,1,1.247211518961671,32.84,12.79,14.98,2.1900000000000013,17.860000000000003,0,32.94,0.09999999999999432,0,1
543,1,5.205419839778459,3.68,0.0,0.93,0.93,2.75,0,76.31,72.63,0,1
601,1,1.7202976876052094,38.25,36.94,41.73,4.789999999999999,0.0,1,34.92,3.3299999999999983,0,0
602,1,1.4608147837043262,40.0,30.09,38.89,8.8,1.1099999999999994,0,33.87,6.130000000000003,1,1
603,1,1.181203398647477,31.63,20.43,31.97,11.54,0.0,1,26.26,5.369999999999997,1,0
604,1,1.3755221109858782,23.24,17.14,20.44,3.3000000000000007,2.799999999999997,0,40.35,17.110000000000003,0,1
605,1,6.738723913531304,96.39,72.26,72.26,0.0,24.129999999999995,0,13.66,82.73,0,1
